movieId,title
tt0119116,The Fifth Element (1997)
tt0050976,The Seventh Seal (1957)
tt0195685,Erin Brockovich (2000)
tt0036342,Shadow of a Doubt (1943)
tt0190332,"Crouching Tiger, Hidden Dragon (2000)"
tt0107688,The Nightmare Before Christmas (1993)
tt0118715,The Big Lebowski (1998)
tt0093058,Full Metal Jacket (1987)
tt0054698,Breakfast at Tiffany's (1961)
tt0149261,Deep Blue Sea (1999)
tt0085333,Christine (1983)
tt0042192,All About Eve (1950)
tt0054047,The Magnificent Seven (1960)
tt0352248,Cinderella Man (2005)
tt0084602,Rocky III (1982)
tt0356910,Mr. & Mrs. Smith (2005)
tt0061722,The Graduate (1967)
tt0044121,The Thing from Another World (1951)
tt0052357,Vertigo (1958)
tt0097428,Ghostbusters II (1989)
tt0118571,Air Force One (1997)
tt0372784,Batman Begins (2005)
tt0103639,Aladdin (1992)
tt0075686,Annie Hall (1977)
tt0120685,Godzilla (1998)
tt0099785,Home Alone (1990)
tt0120082,Scream 2 (1997)
tt0120663,Eyes Wide Shut (1999)
tt0067992,Willy Wonka & the Chocolate Factory (1971)
tt0044079,Strangers on a Train (1951)
tt0142688,The Ninth Gate (1999)
tt0418819,Land of the Dead (2005)
tt0160127,Charlie's Angels (2000)
tt0058461,A Fistful of Dollars (1964)
tt0059578,For a Few Dollars More (1965)
tt0407304,War of the Worlds (2005)
tt0089218,The Goonies (1985)
tt0021884,Frankenstein (1931)
tt0120903,X-Men (2000)
tt0097474,Halloween 5: The Revenge of Michael Myers (1989)
tt0100150,Miller's Crossing (1990)
tt0026138,The Bride of Frankenstein (1935)
tt0232500,The Fast and the Furious (2001)
tt0036775,Double Indemnity (1944)
tt0120667,Fantastic Four (2005)
tt0268978,A Beautiful Mind (2001)
tt0032553,The Great Dictator (1940)
tt0048728,To Catch a Thief (1955)
tt0435625,The Descent (2005)
tt0072271,The Texas Chain Saw Massacre (1974)
tt0080678,The Elephant Man (1980)
tt0082398,For Your Eyes Only (1981)
tt0056923,Charade (1963)
tt0097165,Dead Poets Society (1989)
tt0040522,Bicycle Thieves (1948)
tt0077416,The Deer Hunter (1978)
tt0120660,Enemy of the State (1998)
tt0022100,M (1931)
tt0072684,Barry Lyndon (1975)
tt0093822,Raising Arizona (1987)
tt0367594,Charlie and the Chocolate Factory (2005)
tt0396269,Wedding Crashers (2005)
tt0048545,Rebel Without a Cause (1955)
tt0399201,The Island (2005)
tt0084726,Star Trek II: The Wrath of Khan (1982)
tt0079945,Star Trek: The Motion Picture (1979)
tt0395584,The Devil's Rejects (2005)
tt0077631,Grease (1978)
tt0095742,A Nightmare on Elm Street 4: The Dream Master (1988)
tt0072890,Dog Day Afternoon (1975)
tt0416315,Wolf Creek (2005)
tt0412019,Broken Flowers (2005)
tt0086960,Beverly Hills Cop (1984)
tt0421239,Red Eye (2005)
tt0051554,Horror of Dracula (1958)
tt0119174,The Game (1997)
tt0074486,Eraserhead (1977)
tt0082010,An American Werewolf in London (1981)
tt0397101,The Skeleton Key (2005)
tt0061512,Cool Hand Luke (1967)
tt0091474,Manhunter (1986)
tt0405422,The 40-Year-Old Virgin (2005)
tt0116695,Jerry Maguire (1996)
tt0208092,Snatch (2000)
tt0379786,Serenity (2005)
tt0134847,Pitch Black (2000)
tt0064276,Easy Rider (1969)
tt0387131,The Constant Gardener (2005)
tt0120863,The Thin Red Line (1998)
tt0404032,The Exorcism of Emily Rose (2005)
tt0083972,Friday the 13th Part III (1982)
tt0084805,Tootsie (1982)
tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit (2005)
tt0143145,The World Is Not Enough (1999)
tt0038787,Notorious (1946)
tt0399295,Lord of War (2005)
tt0399146,A History of Violence (2005)
tt0408790,Flightplan (2005)
tt0433383,"Good Night, and Good Luck. (2005)"
tt0121164,Corpse Bride (2005)
tt0388795,Brokeback Mountain (2005)
tt0379725,Capote (2005)
tt0120694,Halloween H20: 20 Years Later (1998)
tt0061811,In the Heat of the Night (1967)
tt0373469,Kiss Kiss Bang Bang (2005)
tt0432348,Saw II (2005)
tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan (1989)
tt0089173,Friday the 13th: A New Beginning (1985)
tt0418763,Jarhead (2005)
tt0092099,Top Gun (1986)
tt0017925,The General (1926)
tt0060196,"The Good, the Bad and the Ugly (1966)"
tt0079817,Rocky II (1979)
tt0330373,Harry Potter and the Goblet of Fire (2005)
tt0257360,About Schmidt (2002)
tt0358273,Walk the Line (2005)
tt0402022,Æon Flux (2005)
tt0092007,Star Trek IV: The Voyage Home (1986)
tt0365737,Syriana (2005)
tt0360717,King Kong (2005)
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)"
tt0095956,Rambo III (1988)
tt0063442,Planet of the Apes (1968)
tt0416320,Match Point (2005)
tt0212720,A.I. Artificial Intelligence (2001)
tt0408306,Munich (2005)
tt0402399,The New World (2005)
tt0450278,Hostel (2005)
tt0106697,Demolition Man (1993)
tt0401855,Underworld: Evolution (2006)
tt0414982,Final Destination 3 (2006)
tt0425210,Lucky Number Slevin (2006)
tt0450232,16 Blocks (2006)
tt0454841,The Hills Have Eyes (2006)
tt0434409,V for Vendetta (2005)
tt0427944,Thank You for Smoking (2005)
tt0454848,Inside Man (2006)
tt0393109,Brick (2005)
tt0439815,Slither (2006)
tt0424136,Hard Candy (2005)
tt0384537,Silent Hill (2006)
tt0475276,United 93 (2006)
tt0317919,Mission: Impossible III (2006)
tt0409182,Poseidon (2006)
tt0382625,The Da Vinci Code (2006)
tt0376994,X-Men: The Last Stand (2006)
tt0466909,The Omen (2006)
tt0317219,Cars (2006)
tt0389860,Click (2006)
tt0348150,Superman Returns (2006)
tt0458352,The Devil Wears Prada (2006)
tt0383574,Pirates of the Caribbean: Dead Man's Chest (2006)
tt0449059,Little Miss Sunshine (2006)
tt0452637,Lady in the Water (2006)
tt0430357,Miami Vice (2006)
tt0415306,Talladega Nights: The Ballad of Ricky Bobby (2006)
tt0469641,World Trade Center (2006)
tt0468492,The Host (2006)
tt0417148,Snakes on a Plane (2006)
tt0443543,The Illusionist (2006)
tt0479884,Crank (2006)
tt0436697,The Queen (2006)
tt0387877,The Black Dahlia (2006)
tt0455590,The Last King of Scotland (2006)
tt0422720,Marie Antoinette (2006)
tt0206634,Children of Men (2006)
tt0407887,The Departed (2006)
tt0414993,The Fountain (2006)
tt0418689,Flags of Our Fathers (2006)
tt0482571,The Prestige (2006)
tt0449467,Babel (2006)
tt0443453,Borat (2006)
tt0457430,Pan's Labyrinth (2006)
tt0489270,Saw III (2006)
tt0420223,Stranger Than Fiction (2006)
tt0381061,Casino Royale (2006)
tt0453467,Deja Vu (2006)
tt0450259,Blood Diamond (2006)
tt0472043,Apocalypto (2006)
tt0454921,The Pursuit of Happyness (2006)
tt0479143,Rocky Balboa (2006)
tt0498380,Letters from Iwo Jima (2006)
tt0477347,Night at the Museum (2006)
tt0343737,The Good Shepherd (2006)
tt0443489,Dreamgirls (2006)
tt0465551,Notes on a Scandal (2006)
tt0405094,The Lives of Others (2006)
tt0475394,Smokin' Aces (2006)
tt0259324,Ghost Rider (2007)
tt0425112,Hot Fuzz (2007)
tt0481369,The Number 23 (2007)
tt0443706,Zodiac (2007)
tt0416449,300 (2006)
tt0822854,Shooter (2007)
tt0448134,Sunshine (2007)
tt0486822,Disturbia (2007)
tt0488120,Fracture (2007)
tt0452702,Vacancy (2007)
tt0478311,Knocked Up (2007)
tt0435705,Next (2007)
tt0413300,Spider-Man 3 (2007)
tt0463854,28 Weeks Later (2007)
tt0413267,Shrek the Third (2007)
tt0449088,Pirates of the Caribbean: At World's End (2007)
tt0780571,Mr. Brooks (2007)
tt1028528,Death Proof (2007)
tt0496806,Ocean's Thirteen (2007)
tt0498353,Hostel: Part II (2007)
tt0829482,Superbad (2007)
tt0486576,Fantastic Four: Rise of the Silver Surfer (2007)
tt0450385,1408 (2007)
tt0382932,Ratatouille (2007)
tt0337978,Live Free or Die Hard (2007)
tt0418279,Transformers (2007)
tt0373889,Harry Potter and the Order of the Phoenix (2007)
